stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
20920,721,GRAND RUE,,+49.168571,+06.048406,0,10474
20925,798,DOUANIERS,,+49.169170,+06.049078,0,10476
10476,DOUAN,DOUANIERS,,+49.169581,+06.048429,1,
20984,799,CHAMP BANAL,,+49.173234,+06.045326,0,10511
10511,CBANA,CHAMP BANAL,,+49.172942,+06.045378,1,
20988,800,GRANDE FLAMEE,,+49.183115,+06.040279,0,10513
10513,GFLAM,GRANDE FLAMEE,,+49.182969,+06.040223,1,
20986,801,SAINT PRIVAT,,+49.186068,+06.037720,0,10512
10512,MSTPR,SAINT PRIVAT,,+49.186038,+06.037602,1,
20982,802,ABBE BAUZIN,,+49.189125,+06.036346,0,10510
10510,ABBEB,ABBE BAUZIN,,+49.189232,+06.035647,1,
20980,803,CONOT CHENOY,,+49.188728,+06.038486,0,10509
10509,CCONO,CONOT CHENOY,,+49.188757,+06.038523,1,
20978,804,JEAN MOULIN,,+49.187006,+06.044024,0,10508
10508,JMoul,JEAN MOULIN,,+49.187006,+06.044024,1,
20979,805,CONOT CHENOY,,+49.188786,+06.038560,0,10509
20981,806,ABBE BAUZIN,,+49.189340,+06.034948,0,10510
20985,807,SAINT PRIVAT,,+49.186009,+06.037485,0,10512
20987,808,GRANDE FLAMEE,,+49.182824,+06.040168,0,10513
20983,809,CHAMP BANAL,,+49.172650,+06.045430,0,10511
20924,810,DOUANIERS,,+49.169993,+06.047781,0,10476
20918,722,CARRIERE,,+49.169030,+06.050299,0,10473
20916,723,CHAPELLE,,+49.141664,+06.115763,0,10472
20914,724,LORRY GRAND RUE,,+49.141735,+06.118591,0,10471
20912,725,ATELIERS MUNICIPAUX,,+49.142488,+06.122013,0,10470
20910,726,CARREFOUR,,+49.144423,+06.127608,0,10469
20908,727,FRIERES,,+49.140146,+06.135521,0,10468
20466,409,SANSONNET,,+49.136331,+06.147258,0,10234
20468,410,LORRY,,+49.135377,+06.149340,0,10235
20470,411,N. JUNG,,+49.133650,+06.152483,0,10236
20472,412,LE MOYNE,,+49.131432,+06.156283,0,10237
20474,413,COLIBRI,,+49.130273,+06.158385,0,10238
20136,414,TIGNOMONT,,+49.127531,+06.160010,0,10047
20099,291,FORT MOSELLE,,+49.124075,+06.165021,0,10048
20024,122,SEROT,,+49.119758,+06.169770,0,10007
10007,SEROT,SEROT,,+49.119758,+06.169770,1,
21229,879,POINCARE,,+49.116703,+06.168605,0,10629
20291,67,VERLAINE,,+49.108180,+06.167951,0,10143
10143,VERLA,VERLAINE,,+49.108851,+06.167384,1,
20196,126,ARENES,,+49.105895,+06.173556,0,10093
21212,911,POLE MULTIMODAL,PEM5,+49.107450,+06.177414,0,10619
20769,622,FRANCLONCHAMPS,,+49.171161,+06.189857,0,10394
10394,FRANC,FRANCLONCHAMPS,,+49.171161,+06.189857,1,
20770,623,LA MAXE,,+49.168613,+06.189582,0,10395
10395,MAXE,LA MAXE,,+49.168653,+06.189551,1,
20772,624,CHENEVIERES,,+49.165766,+06.189568,0,10396
10396,CHENE,CHENEVIERES,,+49.165797,+06.189656,1,
